date,review,rating,title
2026-05-12,"Randomly decides its offline despite me being connected to very stable internet. Uninstalled reinstalled did nothing. Can’t search. Dj works sometimes but only after two minutes about half the time and nothing happens the other half of the time. Man ide really like to search for a song but “can not load this page”. Never used to have these problems. I love spending 12 dollars a month to be told I’m offline. Yes I have checked offlinesettin, yes the app has permission for networks, yes I’ve closed it and reinstalled it and restarted my phone and changes from WiFi to cellular and givin it time to load and every option you can think of. Fix your broken app",1,You’re offline
2026-05-12,"Update: after trying to cancel my subscription because of there information below, that doesn’t work either. So they’ll also steal your money. Search function doesn’t work, direct links from recent listens don’t work. Truly pointless unless you want their ai slop shoved down your throat via their algorithm, which is the only thing that works",1,Simply doesn’t work. Cancelation page also doesn’t work so I can’t even stop giving them money. Scam
2026-05-12,"Consistent and reliable.
Intelligent recommendations and artist features. Never had anything else and no reason to even try.",5,Trouble Free with a Capital T
2026-05-12,"Siempre estoy
Conectada son los mejores ✨🍀",5,El mejor Spotify
2026-05-12,Love that I'm able to listen to my favorites whenever I want.  Love this app!!,5,Great App
2026-05-12,Great show ever time he is on. Love to catch up when I miss in the morning.,5,Pete Mundo
2026-05-12,This app never works or is it just me. I pay for premium and everything but this damn app never wants to work,1,Step up
2026-05-12,When i first signed up for Spotify i paid for premium but now i dont use it enough to justify the premium anyways that being said my phone would only let me sign up using apple with a private relay. Fast forward to now and ive been logged out of my Spotify account and i cant get back in. Ive tried creating different accounts and nothing works. Was my go to place for music but will not be anymore.,1,Forced me to sign up with apple now I cant sign back in
2026-05-12,The app sometimes closes itself and stops music. It’s also not allowing me to search music.,1,glitches
2026-05-12,"Invest in Spotify, it is worth a monthly fee. It is so cool. We’ve done it for years. Do it do it do it do it?",5,Amazing
2026-05-12,Randomly logged me out of my account for no reason and it’s kinda a cash grab if I can get my account back I will be happy but it’s not looking good,2,Kinda trash right now
2026-05-12,"You know what’s crazy? Raising prices nearly double, and restricting families from using the same account, all for some stupid ai features that won’t even work. So sick of you people.",1,Raising prices for broken features.
2026-05-12,The app always has issues loading despite clearing data from my device and my insurance that my connection was secure. The company stands for things I don’t accept. Overall bad experience.,1,"Poor performance, worse company."
2026-05-12,I’ve been trying to practice and it keeps interrupting me and completely stops playing the song I’m working on to tell me it’s trying to make me an offline playlist! I literally never asked for that and if it’s going to use my storage in my phone without me asking it to that is ridiculous!,5,Interruptions as a paid customer
2026-05-12,"Want to use what the app for what it’s made for, listening to music? Have a lot of songs you love? Good luck! Even on a Pro this app lags and lags and lags, nothing loads once you ‘like’ a volume of songs. 

Looks like it’s finally time to swap to Apple Music",1,Lag and More Lag
2026-05-12,Constantly says it has an issue and will not play,1,Is not working
2026-05-12,Functionality is terrible never works or loads and the dj is just another minority that dosent wanna work,1,Terrible app
2026-05-12,"bugging like crazy. profile won’t load, songs don’t populate in search, ever page buffers, logging out seems to only make it worse.",1,bugging
2026-05-12,I’ve been trying to get spotify premium since 2024 and all I get is “something went wrong” I can’t even get in contact with someone to help me with this solution now I have to listen to music with ads and only 3 skips when I’m trying to get my subscription but I can’t because no one wants to help me with this solution 😐,1,Worst app ever
2026-05-12,I’m already paying you. Leave me alone.,1,Stop with the popups!
2026-05-12,The connection with Sonos keeps dropping,1,Spotify Sonos error
2026-05-12,I’ve had Spotify premium uninterrupted for 15 years.,5,Best music streaming app
2026-05-12,"Spotify is a good app overall with a huge music library and a nice interface, but the free version feels way too limited. I shouldn’t have to pay $14 just to play my own playlist normally that’s a basic feature that should be available to everyone. I understand paying for premium to remove ads or get extra perks, but restricting something as simple as choosing and playing your own songs is frustrating. On top of that, it often just plays one song and then ignores the rest of the playlist I picked, which makes the experience even worse. It has a lot of potential, but these limitations really hold it back.",3,It’s ok
2026-05-12,The recommended songs are actually pretty good,5,Recommendation
2026-05-12,Spotify refuses to load and crashes nonstop. I fly in and out of europe and the US and I don’t think the app can handle it. I have used it for so long but I think I am going to be switching soon also because spotify refuses to pay artists. Bunch of crooks.,1,Keeps crashing
2026-05-12,Best music app out there!,5,💯
2026-05-12,I’m so over the skipping and static sound when at home or driving. I’m about to go back to Apple Music,2,Static/skipping
2026-05-12,The BEST app everrr,3,The best app
2026-05-12,I listen to ads more than I do music on this damn platform 💀,1,Terrible
2026-05-12,Escucho mi alabanza sin parar 🙏,5,Está aplicación es súper bueno
2026-05-12,"I personally liked the app when it was more “basic”; app seems to crash frequently(tried reinstalling based on dev feedback).

Noticed this occurring more since having over 15-20k saved songs on the liked playlist(unsure if its just happened to correlate with that time period though).

Other annoyances is that it doesn’t seem to shuffle older songs I liked and tends to shuffle near the top of the stack. 

DJ is a nice feature but how do I mute his voice(give very “how do you do fellow urbanites” energy), also feel like it plays the same 200 songs from my liked songs each time. Lastly, stop recommending me Taylor Swift, I don’t care if she’s what “everyone is listening to” let me turn this recommendation off, for god sakes I’m a 30+ year old non-performative-heterosexual-man-of-color.",2,Frequent crashing and slowness even after reinstalling.
2026-05-12,Alvin,5,Good😎
2026-05-12,Now that’s a banger 🥇,5,Damn
2026-05-12,I will give this app 5 stars if it lets me customize my folder covers - PLEASE 🙏🏻,4,Folder Customization
2026-05-12,"Me encanta la función, al menos para iPhone te deja poner o escoger sus canciones de lista de reproducción más fácil que escuchar en aleatorio 👌",5,Woww
2026-05-12,Que mal que una aplicación de tantos años y tan avanzada no me permita seleccionar artas canciones para pasarlas de mis “me gusta” a una playlist. Cobran carísimo y no se puede seleccionar más de una canción a la vez,1,“Seleccionar”
2026-05-12,The only way to make life easier and happier is Spotify,5,Grimster
2026-05-12,"I love the podcasts, hate the ads, & what the hell— it’s $12.99 a month now?! The only way I’m going back to premium is if it’s $9.99 or lower per month. I don’t care how much money I have, I’m not paying $13 a month. Very disappointing.",3,Overpriced
2026-05-12,Has every song in  the world,5,Perfect
2026-05-12,"I don’t like that you have to pay to chose what songs you play, and that you only get 3 skips",4,Good music
2026-05-12,Too many ads,4,Ads
2026-05-12,Needs less popups every other time I open the app after I close it. I payed for the service you don’t need to sell me on anything else. Come on people,3,Popups
2026-05-12,I love this app just the downside is the adds and playing for the adds like what do you mean I pay 11 dollars a month 😭? But this app holds my memories when I was younger and now.,5,I LOVE THIS APP 🥹🫰
2026-05-12,Love the mix based on my likes Spotify!,5,Mix
2026-05-12,Too much adds,1,Adds
2026-05-12,"“Listen everywhere”

“Download to Apple watch”

“Download to Apple watch”

“Download to Apple watch”

“Download to Apple watch”

“Say hello to DJ”

Update: Developer thinks I’m their secretary

“Your music now sounds better”

“Your music is about to sound better”

App crashes when update download starts.

Top menu jumping all around.

Audiobooks for you and your plan

Meet prompted playlists

We’re trying to download this

We’re trying to play this

Full page spam to access local network

No internet no problem

We’re trying to play this

The team behind your track

Meet prompted playlists",1,Listen everywhere
2026-05-12,Ts is really good u shld download it (has ur own AI personal DJ,5,Good
2026-05-12,"This app was once my favorite. It was timeless, had millions of songs to listen to, allowed me to put my songs in whatever order I wanted to in my playlist, allowed me to share my playlists with other people, and best of all it kept the advertisements to a MINIMUM. Majority of what I have just listed has been made exclusive for Spotify Premium. I’m getting way too many ads.",2,The downfall of Spotify
2026-05-12,frfr,5,peak
2026-05-12,Thanks for giving me music is good,5,Music
2026-05-12,Amazing music,5,Spotify
2026-05-12,It will randomly say it’s “offline” and won’t play music. Super hard to find playlist and will play the sammmeeeee songs even if I’ve liked and followed so many artist.,1,Horrible
2026-05-12,Latest update is awful on the iPad X . Thank you Spotify,1,Ipad x
2026-05-12,Awesome,5,Awesome
2026-05-12,Spotify is amazing all the music you could want only thing is all of the adds but the prices are very  reasonable  highly recommend to first time listeners.,5,Amazing app
2026-05-12,Don’t change a thing.,5,Wow
2026-05-12,This is the buggiest app I have.,1,"Very buggy, gets hung up on ads, slow to load"
2026-05-12,Excelente,5,Buenísimo!
2026-05-12,Me and my girlfriend share an account,5,I like music
2026-05-12,😍,5,Cubana
2026-05-12,Better than Apple Music,5,Spotify
2026-05-12,"Allowing AI-generated music onto your platform is an affront to every human musician that has ever uploaded to Spotify and thus led to its incredible success. In my opinion, every moment Spotify delays in identifying and culling AI-generated music from its platform is a blatant pronouncement that money is more important than music and hopefully takes it a step or three closer to boycott or mass legal action. A sad thing to wish upon the greatest thing to happen to music in the 21st century. But there it is. Spotify, please come back…",2,Never a complaint until AI
